csn,csn_conv_index,conversation_id,title,default_model_slug,create_time,create_time_iso,n_user_msgs,first_user_time,first_user_time_iso,last_user_time,last_user_time_iso,recovered_id_str,recovered_id_confidence,recovered_id_date_source,recovered_id_time_source,recovered_id_comp_source,participant_id,participant_id_source,participant_id_confidence,csn_eval,n_user_messages,cognitive_engagement,query_sophistication,self_directedness,iterative_refinement,learning_orientation,agency_ownership,linguistic_production,memory_retention,metacognitive_awareness,overall_learning_quality,esperanto_usage_pct,mean_query_length,qt_translation,qt_grammar,qt_usage,qt_clarification,qt_application,qt_meta,error,id,id_date,id_time,id_computer,id_source,id_confidence,is_main_session,csn_list,n_conversations,total_user_msgs,first_user_time_participant,first_user_time_iso_participant,last_user_time_participant,last_user_time_iso_participant,duration_min
CSN1,0,6751d8b0-f324-8001-81ee-5cc12822fc41,ID Assistance,gpt-4o,1733417137.176554,2024-12-05T16:45:37.176554+00:00,12,1733417137.185255,2024-12-05T16:45:37.185255+00:00,1733417865.066385,2024-12-05T16:57:45.066385+00:00,,,,,,05122024_1645_1,recovered_unique,high,CSN1,12,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,3.5,70.0,10.0,0.0,20.0,0.0,0.0,,05122024_1645_1,2024-12-05,16:45,1,recovered_unique,high,True,CSN1,1,12,1733417137.185255,2024-12-05T16:45:37.185255+00:00,1733417865.066385,2024-12-05T16:57:45.066385+00:00,12.131352166334787
CSN1,1,6751c400-b6c4-8001-b67f-859a87c2692f,ID Assistance,gpt-4o,1733411840.942526,2024-12-05T15:17:20.942526+00:00,12,1733411840.946646,2024-12-05T15:17:20.946646+00:00,1733413038.048975,2024-12-05T15:37:18.048975+00:00,,,,,,05122024_1517_1,recovered_unique,high,CSN1,12,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,70.0,8.25,90.0,0.0,0.0,10.0,0.0,0.0,,05122024_1517_1,2024-12-05,15:17,1,recovered_unique,high,True,CSN1,1,12,1733411840.946646,2024-12-05T15:17:20.946646+00:00,1733413038.048975,2024-12-05T15:37:18.048975+00:00,19.95170548359553
CSN1,2,67517f3b-39dc-8001-b00d-4aba7f609de4,Esperanto Rapida Lerno,gpt-4o,1733394235.622429,2024-12-05T10:23:55.622429+00:00,14,1733394235.633278,2024-12-05T10:23:55.633278+00:00,1733395294.910241,2024-12-05T10:41:34.910241+00:00,,,,,,05122024_1023_3,recovered_unique,low,CSN1,14,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,30.0,4.5,20.0,40.0,20.0,0.0,20.0,0.0,,05122024_1023_3,2024-12-05,10:23,3,recovered_unique,,True,CSN1,1,14,1733394235.633278,2024-12-05T10:23:55.633278+00:00,1733395294.910241,2024-12-05T10:41:34.910241+00:00,17.654616049925487
CSN1,3,67508449-da24-8001-8e65-69fc231fc334,ID Acknowledgment Response,gpt-4o,1733329994.1406,2024-12-04T16:33:14.140600+00:00,3,1733329994.144206,2024-12-04T16:33:14.144206+00:00,1733330113.368043,2024-12-04T16:35:13.368043+00:00,,,,,,04122024_1615_1,recovered_unique,high,CSN1,3,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,33.0,4.33,50.0,50.0,0.0,0.0,0.0,0.0,,04122024_1615_1,2024-12-04,16:15,1,recovered_unique,high,True,CSN1,1,3,1733329994.144206,2024-12-04T16:33:14.144206+00:00,1733330113.368043,2024-12-04T16:35:13.368043+00:00,1.9870639483133952
CSN1,4,675073d1-b904-8001-91a8-be0865d0f1de,ID Request Acknowledgment,gpt-4o,1733325778.142805,2024-12-04T15:22:58.142805+00:00,8,1733325778.158597,2024-12-04T15:22:58.158597+00:00,1733326566.333522,2024-12-04T15:36:06.333522+00:00,,,,,,04122024_1500_1,recovered_unique,high,CSN1,8,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.5,0.0,4.375,25.0,25.0,25.0,0.0,25.0,0.0,,04122024_1500_1,2024-12-04,15:00,1,recovered_unique,high,True,CSN1,1,8,1733325778.158597,2024-12-04T15:22:58.158597+00:00,1733326566.333522,2024-12-04T15:36:06.333522+00:00,13.136248751481371
CSN1,5,675063f6-f51c-8001-86e1-3980abfcd04d,ID Confirmation Request,gpt-4o,1733321719.192413,2024-12-04T14:15:19.192413+00:00,8,1733321719.19555,2024-12-04T14:15:19.195550+00:00,1733322309.32894,2024-12-04T14:25:09.328940+00:00,,,,,,04122024_1345_1,recovered_unique,high,CSN1,8,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,75.0,7.75,0.0,50.0,25.0,25.0,0.0,0.0,,04122024_1345_1,2024-12-04,13:45,1,recovered_unique,high,True,CSN1,1,8,1733321719.19555,2024-12-04T14:15:19.195550+00:00,1733322309.32894,2024-12-04T14:25:09.328940+00:00,9.83555649916331
CSN1,6,67505184-09ac-8001-a0a8-1651c3a57292,ID Assistance Request,gpt-4o,1733316996.30958,2024-12-04T12:56:36.309580+00:00,12,1733316996.315119,2024-12-04T12:56:36.315119+00:00,1733317915.079196,2024-12-04T13:11:55.079196+00:00,,,,,,04122024_1300_1,recovered_unique,high,CSN1,12,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,50.0,4.25,100.0,0.0,0.0,0.0,0.0,0.0,,04122024_1300_1,2024-12-04,13:00,1,recovered_unique,high,True,CSN1,1,12,1733316996.315119,2024-12-04T12:56:36.315119+00:00,1733317915.079196,2024-12-04T13:11:55.079196+00:00,15.312734615802764
CSN1,7,675029ba-a330-8001-b58c-a5591d5e2a18,Is Esperanto a language,gpt-4o,1733306810.881212,2024-12-04T10:06:50.881212+00:00,6,1733306810.886013,2024-12-04T10:06:50.886013+00:00,1733309049.35974,2024-12-04T10:44:09.359740+00:00,,,,,,04122024_1000_1,recovered_unique,high,CSN1,6,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.5,0.0,4.5,80.0,0.0,0.0,20.0,0.0,0.0,,04122024_1000_1,2024-12-04,10:00,1,recovered_unique,high,True,CSN1,1,6,1733306810.886013,2024-12-04T10:06:50.886013+00:00,1733309049.35974,2024-12-04T10:44:09.359740+00:00,37.307895449797314
CSN1,8,674f413f-b8cc-8001-bfce-65f867969639,研究支付与奖励指南,gpt-4o,1733247295.84501,2024-12-03T17:34:55.845010+00:00,1,1733247295.448,2024-12-03T17:34:55.448000+00:00,1733247295.448,2024-12-03T17:34:55.448000+00:00,,,,,,03122024_1734_20,recovered_unique,low,CSN1,1,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,03122024_1734_20,2024-12-03,17:34,20,recovered_unique,,True,CSN1,1,1,1733247295.448,2024-12-03T17:34:55.448000+00:00,1733247295.448,2024-12-03T17:34:55.448000+00:00,0.0
CSN1,9,674f0355-8900-8001-91af-68750c07f9e5,Esperanto translation inquiry,gpt-4o,1733231445.75742,2024-12-03T13:10:45.757420+00:00,3,1733231445.318,2024-12-03T13:10:45.318000+00:00,1733231459.667,2024-12-03T13:10:59.667000+00:00,,,,,,03122024_1310_0,synthetic_from_conv_time,synthetic_low,CSN1,3,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,66.0,3.0,33.0,0.0,0.0,0.0,33.0,33.0,,03122024_1310_0,2024-12-03,13:10,0,synthetic_from_conv_time,synthetic_low,True,CSN1,1,3,1733231445.318,2024-12-03T13:10:45.318000+00:00,1733231459.667,2024-12-03T13:10:59.667000+00:00,0.2391499996185302
