Metric,N,Mean,Std,Median,Min,Max
cognitive_engagement,397,2.44,0.99,2.0,1.0,5.0
metacognitive_awareness,397,1.29,0.51,1.0,1.0,3.67
linguistic_production,397,2.62,0.83,3.0,1.0,4.5
self_directedness,397,2.49,0.99,3.0,1.0,5.0
iterative_refinement,397,2.2,1.03,2.0,1.0,5.0
memory_retention,397,2.65,1.23,3.0,1.0,5.0
agency_ownership,397,2.27,0.98,2.0,1.0,5.0
query_sophistication,397,1.63,0.72,1.0,1.0,4.0
overall_learning_quality,397,2.11,0.81,2.0,1.0,4.67
copypaste_score_auto,397,1.16,0.38,1.0,1.0,3.0
substitute_learning,397,3.21,1.25,4.0,1.0,5.0
complement_learning,397,2.46,1.26,2.0,1.0,5.0
