index,question,type,n_options,answer
0,In which computer are you sitting?,multiple_choice,10.0,"""4"""
1,What is your gender?,multiple_choice,3.0,"""Male"""
2,What is your age?,multiple_choice,10.0,"""20"""
3,Which year of university are you in?,multiple_choice,7.0,"""Undergraduate second year"""
4,Which faculty do you belong to?,multiple_choice,6.0,"""Engineering"""
5,Predicted degree classification,multiple_choice,5.0,"""Lower Second-Class Honours (50–60%)"""
6,How familiar are you with generative AI tools?,multiple_choice,5.0,"""I have used them a few times"""
7,Do you have a subscription to ChatGPT or other similar platforms?,multiple_choice,3.0,"""No"""
8,"In general, do you consider yourself someone who always follows the rules?",slider,2.0,4
9,Languages you speak besides English (check all that apply),checkbox,5.0,"[""Spanish""]"
10,Identify the correct Esperanto translation: The bird flies.,multiple_choice,3.0,"""La birdo flugas"""
11,Identify the correct Esperanto translation: The boy learns Esperanto.,multiple_choice,3.0,"""La knabo pensas Esperanto"""
12,Fill in the blank with the most appropriate verb: Mi ____ Anna.,short_answer,0.0,"""estas"""
13,Fill in the blank with the most appropriate verb: La knabo ____ Esperanton.,short_answer,0.0,"""lernas"""
14,Fill in the blank with the most appropriate verb: La birdo ____ rapide.,short_answer,0.0,"""flugas"""
15,Fill in the blank with the most appropriate verb: Tom kaj Anna ____ amikoj.,short_answer,0.0,"""estas"""
16,Write the negative form of the sentence 'Tom dormas.',short_answer,0.0,"""Tom ne dormas"""
17,Write the negative form of the sentence 'Anna lernas.',short_answer,0.0,"""Anna ne lernas"""
18,Write the negative form of the sentence 'La hundo flugas.',short_answer,0.0,"""La hundo ne flugas"""
19,Write the negative form of the sentence 'La birdo estas granda.',short_answer,0.0,"""La birdo ne estas granda"""
20,Past tense: Tom _____ bone hieraŭ. (to sleep),short_answer,0.0,"""dormis"""
21,Past tense: Anna _____ rapide. (to learn),short_answer,0.0,"""lernis"""
22,Past tense: La instruisto _____ bona. (to be),short_answer,0.0,"""estis"""
23,Transform the singular noun into its plural form: La kato,short_answer,0.0,"""La katoj"""
24,Transform the singular noun into its plural form: Apartamento,short_answer,0.0,"""Apartamentoj"""
25,Transform the singular noun into its plural form: La instruisto,short_answer,0.0,"""La instruistoj"""
26,Transform the singular noun into its plural form: Papero,short_answer,0.0,"""Paperoj"""
27,Transform the singular noun into its plural form: La virino,short_answer,0.0,"""La virinoj"""
28,Match the English word to its Esperanto translation: woman,matching,,"""virino"""
29,Match the English word to its Esperanto translation: cat,matching,,"""kato"""
30,Match the English word to its Esperanto translation: boy,matching,,"""knabo"""
31,Match the English word to its Esperanto translation: dog,matching,,"""hundo"""
32,Choose the correct option for the sentence: Kie estas la hundo?,multiple_choice,3.0,"""La hundo estas sub la tablo"""
33,Dialogue comprehension: Is the Esperanto teacher a man or a woman?,multiple_choice,2.0,"""Man"""
34,Dialogue comprehension: Who is happier with the teacher?,multiple_choice,2.0,"""Tom"""
35,Dialogue comprehension: Does Tom agree that the teacher is slow?,multiple_choice,2.0,"""No, Tom does not agree that the teacher is slow"""
36,Dialogue comprehension: Why does Anna think the teacher is slow?,multiple_choice,3.0,"""Because the teacher does not teach well"""
37,Dialogue comprehension: What does Anna say at the end about learning Esperanto?,multiple_choice,3.0,"""Anna says she learns well with the slow teacher"""
38,Multiple‑choice reading: Did Anna sleep well?,multiple_choice,2.0,"""No, Anna did not sleep well"""
39,Why can't Tom's cat play outside?,multiple_choice,3.0,"""Because it is raining"""
40,What does the teacher say about the cat?,multiple_choice,3.0,"""The cat is certainly happy"""
41,Translate into Esperanto: The young girl,short_answer,0.0,"""La juna knabino"""
42,Translate into Esperanto: The big cat sleeps on the table,short_answer,0.0,"""La granda kato dormas sur la tablo"""
43,"Translate into Esperanto: Because the teacher is good, we learn Esperanto fast",short_answer,0.0,"""Ĉar la instruisto estas bona, ni lernas Esperanton rapide"""
44,Image description: Choose the sentence that best describes the picture of a bird,multiple_choice,2.0,"""La malbela birdo flugas rapide."""
45,"Image description: Choose the sentence that best describes the picture of a man, woman and boy in an apartment",multiple_choice,2.0,"""La viro kaj la virino legas librojn, kaj la juna knabo dormas."""
46,Reconstruct the story (order of sentences),ordering,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
47,Anna responds to Tom saying ‘Mi lernas rapide.’ Choose the best response,multiple_choice,4.0,"""Kaj vi estas Tom."""
48,Dialogue: What is the name of the teacher?,multiple_choice,4.0,"""Jose"""
49,Dialogue: Who is the student that student B does not see at first?,multiple_choice,4.0,"""Jose"""
50,Dialogue: Are the students having an exam?,multiple_choice,2.0,"""Yes, they are quiet, only have papers on their desks and the teacher is walking around the classroom."""
51,Translate into Esperanto: Anna and Tom are not learning Esperanto quickly.,short_answer,0.0,"""Anna kaj Tom ne lernas Esperanton rapide."""
